phenocode	phenostring	category	pval	beta	maf	maf_case	maf_control	n_case	n_control
AUTOIMMUNE	Autoimmune diseases	Diseases marked as autimmune origin	1.77746e-23	0.0883594	0.114848	0.121116	0.112766	85418	257081
E4_HYTHY_AI_STRICT	Hypothyroidism, strict autoimmune	Endocrine, nutritional and metabolic diseases (E4_)	2.87078e-19	0.114936	0.114039	0.123178	0.112716	36321	250926
E4_THYROID	Disorders of the thyroid gland	Endocrine, nutritional and metabolic diseases (E4_)	7.15649e-19	0.0976647	0.114848	0.122359	0.113559	50183	292316
E4_HYTHYNAS	Hypothyroidism,  other/unspecified	Endocrine, nutritional and metabolic diseases (E4_)	1.55203e-17	0.10109	0.114697	0.122616	0.113559	42000	292316
E4_DM1NASCOMP	Type 1 diabetes with other specified/multiple/unspecified complications	Endocrine, nutritional and metabolic diseases (E4_)	7.55962e-13	0.206976	0.114769	0.137294	0.114332	5505	283224
T1D_WIDE	Type 1 diabetes, wide definition	Diabetes endpoints	2.73653e-12	0.170366	0.114853	0.133006	0.114339	8026	283320
L12_ATOPIC	Atopic dermatitis	Diseases of the skin and subcutaneous tissue (L12_)	2.05031e-9	-0.129193	0.114756	0.103334	0.115201	11964	306909
AUTOIMMUNE_NONTHYROID_STRICT	Autoimmune diseases excluding thyroid diseases, strict definition	Diseases marked as autimmune origin	7.40832e-9	0.0653274	0.113718	0.119272	0.112707	45552	250292
AUTOIMMUNE_NONTHYROID	Autoimmune diseases excluding thyroid diseases	Diseases marked as autimmune origin	1.15242e-8	0.0633854	0.113695	0.119046	0.112707	47304	256302
E4_DM1OPTH	Type 1 diabetes with ophthalmic complications	Endocrine, nutritional and metabolic diseases (E4_)	3.71929e-8	0.175227	0.114628	0.132901	0.114332	4602	283224
DM_KETOACIDOSIS	Diabetic ketoacidosis	Diabetes endpoints	4.24766e-8	0.144948	0.114717	0.128002	0.114334	7201	249480
E4_THYTOXGOITDIF	Thyrotoxicosis with diffuse goitre	Endocrine, nutritional and metabolic diseases (E4_)	7.50983e-8	0.183484	0.113826	0.133478	0.113559	3971	292316
C3_BASAL_CELL_CARCINOMA_INCLAVO_EXALLC	Basal cell carcinoma, including avohilmo	Neoplasms, from cancer register (ICD-O-3)	1.46828e-7	-0.100339	0.115095	0.107783	0.115569	16812	259264
